_id,address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
2852,"800 BLOCK MONTEZUMA ST PITTSBURGH, PA 15206",1,0,0,1,0,0,2019,7,6,Lincoln-Lemington-Belmar,9,12,42003120300,2,5,3-15,40.4648251481398,-79.9050412924397
2853,"700 BLOCK MT PLEASANT RD PITTSBURGH, PA 15214",1,0,1,0,0,0,2019,7,6,Northview Heights,1,26,42003260900,1,1,1-13,40.4759997700279,-79.9982412589835
2854,"N HOMEWOOD AVE & THOMAS ST PITTSBURGH, PA 15208",1,0,1,0,0,0,2019,7,6,Point Breeze North,9,14,42003140500,2,4,3-14,40.4509324146841,-79.9000893718294
2855,"5800 BLOCK BRYANT ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2019,7,6,Highland Park,7,11,42003110200,2,5,3-9,40.4760964045982,-79.9207255119251
2856,"3400 BLOCK WEBSTER AVE PITTSBURGH, PA 15219",1,0,1,0,0,0,2019,7,6,Upper Hill,6,5,42003050600,3,2,2-22,40.454854873615,-79.9616500933705
2857,"1600 BLOCK BRIGHTON RD PITTSBURGH, PA 15212",3,0,3,0,0,0,2019,7,6,Central Northside,6,25,42003250300,1,1,1-21,40.4579692938646,-80.015761536998
2872,"S 21ST ST & E CARSON ST PITTSBURGH, PA 15203",1,0,1,0,0,0,2019,8,0,South Side Flats,3,17,42003170200,3,3,4-24,40.4285137491726,-79.9762684360746
2873,"100 BLOCK ENTERPRISE ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2019,8,1,,,,,,5,,,
2874,"<100 BLOCK N FREMONT AVE BELLEVUE, PA 15202",1,0,1,0,0,0,2019,8,1,,,,42003431400,,OSC,,40.498601548791,-80.0500922504689
2875,"300 BLOCK MT PLEASANT RD PITTSBURGH, PA 15214",1,0,1,0,0,0,2019,8,1,,,,,,1,,,
2876,"100 BLOCK OAKLAND AVE PITTSBURGH, PA 15213",1,0,1,0,0,0,2019,8,1,Central Oakland,3,4,42003040500,3,4,2-14,40.4422025627084,-79.9578262481479
2877,"BEECHWOOD BLVD & MONITOR ST PITTSBURGH, PA 15217",1,0,1,0,0,0,2019,8,1,Greenfield,5,15,42003151700,3,4,2-15,40.4255571433468,-79.9266961476648
2878,"1400 BLOCK EVANDALE RD PITTSBURGH, PA 15212",1,0,0,0,1,0,2019,8,1,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.4701727114909,-80.0320466240894
2879,"1500 BLOCK BRIGHTON RD PITTSBURGH, PA 15212",1,0,0,1,0,0,2019,8,1,California-Kirkbride,6,25,42003250700,1,1,1-21,40.4568744092444,-80.0165685056208
2880,"1300 BLOCK CHARTIERS AVE PITTSBURGH, PA 15220",3,0,3,0,0,0,2019,8,1,Elliott,2,20,42003562600,5,6,1-17,40.4475961960429,-80.0437649994646
2881,"SOUTHSIDE RIVERFRONT PARK ACCESS RD & 18TH ST PITTSBURGH, PA 15203",1,0,1,0,0,0,2019,8,2,,,,,,3,,,
2882,"UPLAND ST & N LANG AVE PITTSBURGH, PA 15208",1,0,1,0,0,0,2019,8,2,Homewood North,9,13,42003130100,2,5,3-18,40.4627659348695,-79.8975520540997
2883,"800 BLOCK E CARSON ST PITTSBURGH, PA 15203",1,0,0,1,0,0,2019,8,2,South Side Flats,3,17,42003170200,3,3,4-2,40.4280919258088,-79.9908939455234
2884,"3900 BLOCK BOULEVARD DR PITTSBURGH, PA 15217",2,0,1,0,1,0,2019,8,2,Greenfield,5,15,42003151700,3,4,2-15,40.4281529191827,-79.9341493300776
