DEC_LAT,DEC_LONG
40.2435,-79.2373
40.1938,-79.1602
40.4113,-79.5103
40.3501,-79.7316
40.3423,-79.725
40.3459,-79.5723
40.1263,-79.5495
40.2517,-79.4619
40.2637,-79.5648
40.1218,-79.5585
40.1566,-79.8246
40.306,-79.714
40.2829,-79.4054
40.2394,-79.6947
40.3991,-79.5797
40.3613,-79.6665
40.4241,-79.666
40.2843,-79.7262
40.5348,-79.5947
40.3623,-79.772
40.5001,-79.6813
40.4425,-79.7029
40.569,-79.7312
40.3237,-79.5166
40.3939,-79.5952
40.303,-79.5063
40.1542,-79.7755
40.5549,-79.7587
40.3296,-79.7343
40.3926,-79.6439
40.3935,-79.5847
40.4278,-79.6981
40.3284,-79.7453
40.3317,-79.7097
40.583,-79.7668
40.3238,-79.309
40.2874,-79.5564
40.1512,-79.5919
40.2828,-79.5268
40.2248,-79.6654
40.2264,-79.6097
40.3069,-79.5982
40.3158,-79.6935
40.2486,-79.2235
40.579,-79.7539
40.2413,-79.7768
40.1598,-79.764
40.1838,-79.5302
40.5951,-79.6109
40.4777,-79.64
,
40.3566,-79.6834
40.2866,-79.5326
40.2885,-79.4559
40.3598,-79.4581
40.4971,-79.6718
40.2872,-79.6317
40.2868,-79.3767
40.3027,-79.578
40.5031,-79.6777
40.3368,-79.6069
40.325,-79.7558
40.163,-79.7832
40.1869,-79.4729
40.1061,-79.24
40.4487,-79.6535
40.587,-79.7632
40.3083,-79.5766
40.2333,-79.494
40.2977,-79.6148
40.4155,-79.614
40.143,-79.8414
40.3388,-79.6349
40.3064,-79.5749
40.3111,-79.5319
40.3086,-79.5437
40.2851,-79.3111
40.3361,-79.7453
40.3274,-79.7196
40.3117,-79.4899
40.1681,-79.5317
40.3123,-79.6656
40.3216,-79.5777
40.4503,-79.4199
40.3943,-79.4179
40.1814,-79.7108
40.1341,-79.8633
40.5776,-79.6829
40.592,-79.5717
40.5796,-79.7656
40.2867,-79.4438
40.1302,-79.5676
40.2832,-79.5165
40.2487,-79.4479
40.1517,-79.5369
40.2881,-79.5701
40.2133,-79.7232
40.1099,-79.5852
40.2283,-79.6128
40.3279,-79.7375
40.5467,-79.7319
40.3104,-79.623
40.2142,-79.6415
40.3023,-79.5525
40.3001,-79.3713
40.3073,-79.5956
40.577,-79.59
40.4175,-79.6473
40.2728,-79.4938
40.3123,-79.5793
40.1836,-79.1423
40.6378,-79.6552
40.551,-79.6611
40.2142,-79.6059
40.5975,-79.5731
40.3082,-79.7097
40.3384,-79.7066
40.319,-79.6882
40.5987,-79.5657
40.3222,-79.4106
40.1893,-79.851
40.1851,-79.8329
40.2443,-79.5912
40.2092,-79.6055
40.6225,-79.6389
40.4043,-79.5413
40.1323,-79.7287
40.2609,-79.6443
40.326,-79.695
40.2087,-79.6054
40.3259,-79.6949
40.3621,-79.668
40.5763,-79.7501
40.1586,-79.7783
40.6014,-79.6786
40.2583,-79.1513
40.5195,-79.4824
40.1577,-79.8563
40.1249,-79.5565
40.1746,-79.7477
40.3643,-79.6393
40.2027,-79.8372
40.5843,-79.705
40.1346,-79.5481
40.3096,-79.5123
40.3111,-79.5319
40.3488,-79.575
40.3384,-79.7485
,
40.3272,-79.6982
40.3151,-79.6502
40.3231,-79.6155
40.2637,-79.5648
40.5633,-79.7101
40.3809,-79.6985
40.3171,-79.6837
40.2931,-79.726
40.1332,-79.5482
40.2844,-79.6659
40.5655,-79.5695
40.3116,-79.6782
40.3391,-79.75
40.4625,-79.6472
40.5869,-79.7494
40.2694,-79.5398
40.3263,-79.651
40.1135,-79.3898
40.3225,-79.5698
40.1263,-79.5495
40.2038,-79.7602
40.1359,-79.843
40.3034,-79.5385
40.5983,-79.6076
40.3213,-79.6943
40.3524,-79.4673
40.1685,-79.5894
40.3157,-79.3332
40.4272,-79.6846
40.1595,-79.8212
40.4243,-79.6669
40.2267,-79.7284
40.4224,-79.6616
40.3034,-79.555
40.3296,-79.7343
40.3268,-79.7533
40.1582,-79.5672
40.1396,-79.8546
40.3345,-79.744
40.3489,-79.6413
40.5669,-79.7412
40.3012,-79.5504
40.2957,-79.5557
40.3076,-79.3644
40.2856,-79.437
40.6101,-79.6136
40.3031,-79.5329
40.3014,-79.7279
40.3207,-79.7128
40.3892,-79.568
40.3956,-79.4403
40.1452,-79.8388
40.3374,-79.3011
40.1283,-79.8187
40.3026,-79.5432
40.1907,-79.8275
40.2584,-79.3054
40.2849,-79.3901
40.3243,-79.3075
40.3107,-79.6192
40.2332,-79.5836
40.4715,-79.5315
40.3222,-79.6873
